realization,variant,leverage,cap_min,cap_max,cls,theta_tail_area_pct,theta_tail_mass,gini,top30_jaccard_vs_registered,core_mean_percentile,core_in_top30_pct,core_in_theta_tail_pct,changed_cells_pct
ssp585,1/v (registered),0.408,0.14,0.547,diffuse-linear,0.4745421186170434,0.03201759463048045,0.33875033641092944,1.0,0.9778939660926993,99.80817976296498,17.58580530245941,0.0
ssp585,"floored 1/max(v, v_floor)",0.408,0.14,0.547,diffuse-linear,0.4745421186170434,0.03201759463048045,0.33875033641092944,1.0,0.9778939660926993,99.80817976296498,17.58580530245941,0.0
ssp585,log1p(1/v),0.338,0.161,0.499,diffuse-linear,0.030132592650790057,0.0016083720509559591,0.276962009753595,1.0,0.9778939660926993,99.80817976296498,1.116667808453792,100.0
ssp585,"capped min(1/v, 7.5)",0.408,0.14,0.547,diffuse-linear,0.4745421186170434,0.032011098066684646,0.3387458984746211,1.0,0.9778939660926993,99.80817976296498,17.58580530245941,0.000184862531599939
ssp585,"capped min(1/v, 1.5)",0.397,0.142,0.539,diffuse-linear,0.0,0.0,0.32694364594052866,1.0,0.9778269246925926,99.80817976296498,0.0,1.1903298409720071
ssp585,"capped min(1/v, 2.0)",0.403,0.141,0.544,diffuse-linear,0.487759789626439,0.024507385047573004,0.33318669427033065,1.0,0.9778939660926992,99.80817976296498,18.075631979173803,0.48073501342564134
ssp585,"capped min(1/v, 3.0)",0.406,0.14,0.546,diffuse-linear,0.47814693798324226,0.030247642335504043,0.337419264934766,1.0,0.9778939660926992,99.80817976296498,17.71939439610879,0.11701798250276138
ssp585,"capped min(1/v, 5.0)",0.408,0.14,0.547,diffuse-linear,0.4746345498828433,0.031956095896485334,0.3387051693686653,1.0,0.9778939660926993,99.80817976296498,17.589230663835036,0.004713994555798445
ssp585,"rank (CONSTRUCTION CHECK: any layer ranked has this leverage -- not a realness test, PF-1 correction)",0.428,0.087,0.515,diffuse-linear,0.0,0.0,0.33978476930146606,1.0,0.9778939660926993,99.80817976296498,0.0,99.9989832560762
ssp245,1/v (registered),0.47,0.121,0.59,diffuse-linear,0.8668204106721139,0.058809894296489196,0.3934459476076914,1.0,0.9735213756020034,99.86641090635062,23.049256696581487,0.0
ssp245,"floored 1/max(v, v_floor)",0.47,0.121,0.59,diffuse-linear,0.8668204106721139,0.058809894296489196,0.3934459476076914,1.0,0.9735213756020034,99.86641090635062,23.049256696581487,0.0
ssp245,log1p(1/v),0.353,0.154,0.507,diffuse-linear,0.006285326074397925,0.00033750360098464585,0.28902402963516904,1.0,0.9735213756020034,99.86641090635062,0.13016373227375488,100.0
ssp245,"capped min(1/v, 7.5)",0.469,0.121,0.589,diffuse-linear,0.8705176613041127,0.057447878767329034,0.3924494467890365,1.0,0.9735215759689504,99.86641090635062,23.131465369596494,0.06045004783318005
ssp245,"capped min(1/v, 1.5)",0.401,0.136,0.537,diffuse-linear,0.0,0.0,0.3206064169905341,1.0,0.9509581204366978,99.86641090635062,0.0,9.443979720580284
ssp245,"capped min(1/v, 2.0)",0.431,0.129,0.56,diffuse-linear,0.0,0.0,0.35111288685721337,1.0,0.9686264649218604,99.86641090635062,0.0,5.0139340133193455
ssp245,"capped min(1/v, 3.0)",0.455,0.124,0.579,diffuse-linear,0.0,0.0,0.3767135615454128,1.0,0.9733797057696881,99.86641090635062,0.0,1.6689389352842494
ssp245,"capped min(1/v, 5.0)",0.466,0.121,0.588,diffuse-linear,0.8822564320607089,0.05361793152620734,0.3896094488075145,1.0,0.9735191103331159,99.86641090635062,23.388367472768376,0.2959649130915023
ssp245,"rank (CONSTRUCTION CHECK: any layer ranked has this leverage -- not a realness test, PF-1 correction)",0.428,0.087,0.515,diffuse-linear,0.0,0.0,0.34033296291464404,1.0,0.9735213756020034,99.86641090635062,0.0,100.0
