,km2,m_soc theta-tail,connectivity spike (top 0.2%),refugia densest (area-matched to the m_soc tail),rare-attainable EFG footprint,rarest-EFG footprint (rare in the extent+250 km window: <= 1% of the window),multi-claim (>=2 themes top-30%)
core,29194.0,2.747139823251353,1.0276084126875384,82.33541138590121,75.42988285264094,0.0719325888881277,89.939713639789
core kept frequent under both,25164.0,2.964552535367986,1.0451438563026545,92.5727229375298,76.82006040375138,0.04768717215069146,90.35924336353521
core lost under the variant,1335.0,1.1235955056179776,0.0,50.0374531835206,75.50561797752809,0.149812734082397,82.24719101123596
core gained under the variant,287.0,0.6968641114982579,12.89198606271777,0.0,84.3205574912892,0.0,97.21254355400697
S0 variant tier (all),41111.0,2.537033883875362,4.553525820340055,73.89263214224904,80.10264892607817,0.05837853615820583,87.24185741042544
S0 registered tier (all),42733.0,2.482858680644935,1.0015678749444223,78.69796176257225,80.54196990616151,0.03276156600285494,89.40865373364846
