,km2,m_soc theta-tail,connectivity spike (top 0.2%),refugia densest (area-matched to the m_soc tail),rare-attainable EFG footprint,rarest-EFG footprint (rare in the extent+250 km window: <= 1% of the window),multi-claim (>=2 themes top-30%),inside the frozen core
registered discretionary selection,190845.0,5.006680814273364,0.971992978595195,18.111556498729335,68.98897010663103,1.2250779428331893,75.25950378579476,15.241688281065786
PF-4 discretionary selection,190845.0,5.4672640100605205,0.9809007309596792,17.789305457308288,71.60418140375697,1.2371296077969032,69.31069716261888,15.081348738505069
kept by both,155267.0,5.42291665324892,1.1947161985483072,21.86298440750449,70.50564511454462,1.386643652546903,78.04298402107338,18.524863622018845
dropped under PF-4,35578.0,3.1901737028500756,0.0,1.7398392264882792,62.370003935016015,0.5199842599359155,63.11203552757322,0.9134858620495812
gained under PF-4,35578.0,5.66080161897802,0.04778233739951655,0.011242902917533307,76.39833605036821,0.584630951711732,31.20186632188431,0.05340378885828321
