,km2,m_soc theta-tail,connectivity spike (top 0.2%),refugia densest (area-matched to the m_soc tail),rare-attainable EFG footprint,rarest-EFG footprint (rare in the extent+250 km window: <= 1% of the window),multi-claim (>=2 themes top-30%)
core,29194.0,2.747139823251353,1.0276084126875384,82.33541138590121,75.42988285264094,0.0719325888881277,89.939713639789
core kept frequent under both,6281.0,0.5094730138512976,4.187231332590352,80.62410444196783,74.74924375099506,0.01592103168285305,95.81276866740966
core lost under the variant,20218.0,3.605697892966663,0.0,93.47611039667623,77.37659511326541,0.06429913938074983,88.12938965278465
core gained under the variant,496.0,1.0080645161290323,7.459677419354839,0.0,79.23387096774194,0.20161290322580644,97.17741935483872
S0 variant tier (all),73254.0,3.509705954623638,2.5554918502743877,7.8630518469981165,76.00131050864117,0.40953395036448526,52.12138586288803
S0 registered tier (all),42733.0,2.482858680644935,1.0015678749444223,78.69796176257225,80.54196990616151,0.03276156600285494,89.40865373364846
