,km2,m_soc theta-tail,connectivity spike (top 0.2%),refugia densest (area-matched to the m_soc tail),rare-attainable EFG footprint,rarest-EFG footprint (rare in the extent+250 km window: <= 1% of the window),multi-claim (>=2 themes top-30%)
core,29194.0,2.747139823251353,1.0276084126875384,82.33541138590121,75.42988285264094,0.0719325888881277,89.939713639789
core kept frequent under both,25352.0,2.974124329441464,1.0373934995266647,92.43846639318397,76.63695171978542,0.047333543704638686,90.24928999684442
core lost under the variant,1147.0,0.6102877070619006,0.0,46.03312990409765,79.33740191804708,0.17436791630340018,83.34786399302529
core gained under the variant,21.0,4.761904761904762,61.904761904761905,0.0,95.23809523809523,0.0,100.0
S0 variant tier (all),36287.0,2.8825750268691266,1.2594041943395706,84.52338302973517,79.64560310855127,0.03306969438090776,90.27750985201311
S0 registered tier (all),42733.0,2.482858680644935,1.0015678749444223,78.69796176257225,80.54196990616151,0.03276156600285494,89.40865373364846
