,km2,m_soc theta-tail,connectivity spike (top 0.2%),refugia densest (area-matched to the m_soc tail),rare-attainable EFG footprint,rarest-EFG footprint (rare in the extent+250 km window: <= 1% of the window),multi-claim (>=2 themes top-30%)
core,29194.0,2.747139823251353,1.0276084126875384,82.33541138590121,75.42988285264094,0.0719325888881277,89.939713639789
core kept frequent under both,9901.0,2.2623977376022624,2.6562973437026565,87.81941218058782,73.1037268962731,0.010099989900010101,94.1925058074942
core lost under the variant,16598.0,3.235329557778045,0.0,91.98698638390167,78.93119652970238,0.07832268948066032,87.4201711049524
core gained under the variant,407.0,0.9828009828009828,9.090909090909092,0.0,81.32678132678133,0.0,97.05159705159704
S0 variant tier (all),46902.0,2.9657583898341224,3.9913010106178843,20.95859451622532,76.52978551021279,0.24092789220075905,62.5623640782909
S0 registered tier (all),42733.0,2.482858680644935,1.0015678749444223,78.69796176257225,80.54196990616151,0.03276156600285494,89.40865373364846
