realization,form,mean,gini,leverage,theta_tail_area_pct,q0,q1,q5,q10,q25,q50,q75,q90,q95,q99,q99.9,q100
ssp585,v (km/yr),3.4335328551421527,0.2751433069676706,0.34245357404745647,0.0,0.09682510048151016,0.6350432300567627,1.060538363456726,1.3462290048599244,2.126657009124756,3.279064178466797,4.532642841339111,5.899742889404297,6.604465484619141,7.2951085281372,8.769762493133511,16.4774112701416
ssp585,vmax − v,13.04387841499945,0.0724258195522286,0.09014386369169847,0.0,0.0,9.182302742004394,9.872945785522461,10.577668380737304,11.94476842880249,13.198347091674805,14.350754261016846,15.131182265281677,15.416872906684876,15.842368040084835,16.15839868068695,16.38058616966009
ssp585,1 − v/vmax,0.7916218270667316,0.07242581955222856,0.09014386369169847,0.0,0.0,0.5572661015412942,0.5991806372772303,0.6419496489660904,0.7249177818634274,0.8009963989665825,0.8709350046400535,0.9182985128677706,0.9356368335978537,0.9614597693991218,0.9806393987365766,0.9941237674478051
ssp585,1/v (registered),0.40139906257423225,0.33875033641092944,0.40764225340851656,0.4745421186170434,0.06068914489086527,0.13707815259532385,0.15141270740665969,0.16949891185870994,0.22062183917949352,0.3049650588014942,0.4702215710899045,0.7428156698395376,0.942917328083196,1.5746959469154806,3.134672527581045,10.327900462039398
ssp585,log1p(1/v),0.319695329535504,0.276962009753595,0.33822780175958034,0.030132592650790057,0.05891883356616859,0.128461948197903,0.1409896296817864,0.15657537660875026,0.199360433135566,0.26617626555144824,0.38541311806481404,0.555502006406839,0.6641906208967343,0.9457314481850734,1.4194081300416501,2.4272687500165193
ssp245,v (km/yr),2.0621865891468825,0.30872804285702743,0.3828192458355305,0.0,0.0432807132601738,0.28166484355926513,0.4993751406669617,0.6863406896591187,1.1613612174987793,1.916690468788147,2.8013150691986084,3.640072154998779,4.093928813934325,4.980200614929197,7.380848264694146,9.407426834106445
ssp245,vmax − v,7.345240244959563,0.08667583475029424,0.10747704479388348,0.0,0.0,4.427226219177246,5.313498020172119,5.767354679107666,6.606111764907837,7.490736365318298,8.246065616607666,8.721086144447327,8.908051693439484,9.12576199054718,9.255332646727561,9.364146120846272
ssp245,1 − v/vmax,0.780791642017298,0.08667583475029418,0.10747704479388348,0.0,0.0,0.4706096892644886,0.5648194893111615,0.6130639951615922,0.7022230288262785,0.796257733109417,0.8765484719702218,0.9270426757749736,0.9469169253746957,0.9700593107417965,0.9838325410273222,0.99539930376038
ssp245,1/v (registered),0.7444498237281514,0.3934459476076914,0.4695658133035195,0.8668204106721139,0.1062989930864537,0.2007951239966375,0.24426413976659792,0.2747198290087428,0.35697519746897904,0.5217326512988105,0.8610585448631541,1.457002353304004,2.0025025648873784,3.5503188382454214,6.574873225956389,23.104979670475615
ssp245,log1p(1/v),0.506765655552257,0.28902402963516904,0.3529644046240608,0.006285326074397925,0.10102020389511562,0.1829839406997817,0.2185443027800131,0.24272641250964422,0.3052581032125792,0.41984958783327536,0.6211454359848302,0.8989420513339844,1.0994461292163074,1.5151973047987453,2.024836615249445,3.182418444483474
