formulation,spike_cells,spike_in_anchor_pct,spike_frequent_pct,spike_mean_f,spike_max_f,members_basis
s0_ssp585_theta5,2164,98.33641404805915,0.6007393715341959,0.3469972312450409,0.9803921580314636,plain
s1_ssp585_theta5,2164,68.06839186691313,10.027726432532349,0.40405386686325073,1.0,plain
s2_ssp585_theta5,2164,100.0,1.2939001848428837,0.380422979593277,0.9607843160629272,plain
s3_ssp585_theta5,2164,79.48243992606284,0.0,0.23157009482383728,0.5882353186607361,plain
s4_ssp585_theta3,2164,88.07763401109058,1.2014787430683918,0.27532529830932617,1.0,plain
s5_ssp585_theta5,2164,94.59334565619224,0.0,0.17647062242031097,0.1764705926179886,plain
s0_ssp245_theta5,2164,98.75231053604436,2.4029574861367835,0.4041535258293152,1.0,plain
s1_ssp245_theta5,2164,67.09796672828097,17.698706099815155,0.4378511309623718,1.0,plain
s2_ssp245_theta5,2164,100.0,1.9870609981515712,0.40862056612968445,0.9607843160629272,plain
s3_ssp245_theta5,2164,78.18853974121997,0.0,0.26597440242767334,0.6666666865348816,plain
s4_ssp245_theta3,2164,86.82994454713494,1.5711645101663587,0.292205810546875,1.0,plain
s5_ssp245_theta5,2164,94.17744916820703,0.0,0.17647062242031097,0.1764705926179886,plain
