,km2,m_soc theta-tail,connectivity spike (top 0.2%),refugia densest (area-matched to the m_soc tail),rare-attainable EFG footprint,rarest-EFG footprint (rare in the extent+250 km window: <= 1% of the window),multi-claim (>=2 themes top-30%)
core,29194.0,2.747139823251353,1.0276084126875384,82.33541138590121,75.42988285264094,0.0719325888881277,89.939713639789
core kept frequent under both,17919.0,2.9354316647134326,1.4677158323567163,92.36564540431944,74.25079524527038,0.05580668564093979,92.06428930185837
core lost under the variant,8580.0,2.738927738927739,0.0,86.38694638694638,81.98135198135198,0.046620046620046623,85.53613053613054
core gained under the variant,458.0,1.0917030567685588,8.078602620087336,0.0,80.56768558951966,0.0,97.37991266375546
S0 variant tier (all),45137.0,2.9709550922746306,4.147373551631699,41.26991160245475,77.4331479717305,0.2060393911868312,73.25475773755456
S0 registered tier (all),42733.0,2.482858680644935,1.0015678749444223,78.69796176257225,80.54196990616151,0.03276156600285494,89.40865373364846
