number,name,act,act_v16,n_components,driving_label,driving,area_km2,mean_guarded_F,min_guarded_F,pct_core habitat,pct_connectivity,pct_biodiversity,pct_carbon,pct_representativeness,pct_naturalness,ratio_core habitat,ratio_connectivity,ratio_biodiversity,ratio_carbon,ratio_representativeness,ratio_naturalness,efg_classes_present,driver_m_soc theta-tail,driver_connectivity spike (top 0.2%),driver_refugia densest (area-matched to the m_soc tail),driver_rare-attainable EFG footprint,driver_rarest-EFG footprint (rare in the extent+250 km window: <= 1% of the window),pct_adequacy_forced,pct_forced_any_formulation,adequacy_pin,adequacy_pin_class,mean_lat,pct_within_5km_of_PA,pct_in_proposed_IPCA,n_formulations_frequent
2,Purcell Wilderness Conservancy Park vicinity (50.1°N 116.4°W),Act 1,Act 1 core,11,all formulations,all formulations,11591.0,0.8299527764320374,0.11764705926179886,0.9700238704681396,0.4115349352359772,0.7343625426292419,0.6092721223831177,0.7398032546043396,0.47807809710502625,3.9874394937119413,0.9855583192848189,1.215402722007641,1.1801042043568375,1.162984013557434,0.9983457441574302,8,2.821154343887499,1.5270468466913985,75.37744802001552,63.74773531187991,0.0,0.0,0.0,False,,50.6387825012207,24.682943663186954,7.799154516435165,10
1,SW of Tahltan - Sacred Headwaters (Klappan) (56.8°N 129.3°W),Act 1,Act 1 core,12,all formulations,all formulations,10962.0,0.7811254858970642,0.06535948067903519,0.9748572111129761,0.6395562887191772,0.3234044313430786,0.6295590996742249,0.8343886733055115,0.7927941679954529,3.4490629281989706,1.2399845124637574,0.8174134847079706,1.4064790708568737,1.2684237957000732,1.048815445604288,7,3.4026637474913337,0.1277139208173691,79.39244663382594,85.41324575807334,0.0,0.0,0.0,False,,56.75235366821289,5.82010582010582,11.36653895274585,10
4,NW of Frank Church River Of No Return Wilderness (45.2°N 115.6°W),Act 1,Act 1 core,8,all formulations,all formulations,3977.0,0.8536026477813721,0.1993464231491089,0.9794487357139587,0.34626248478889465,0.8438188433647156,0.3809513449668884,0.9138767719268799,0.36449742317199707,4.7122349315507535,0.8637262731484839,1.335345449264116,0.20367461425808722,1.3645529747009277,1.0143625083602474,9,0.0,0.4023133014835303,84.56122705556952,100.0,0.0,0.0,0.0,False,,45.398189544677734,46.894644204174,0.0,12
3,N of Granby Park (49.9°N 118.7°W),Act 1,Act 1 core,2,all formulations,all formulations,952.0,0.7445745468139648,0.4542483389377594,0.9586987495422363,0.366090327501297,0.9441318511962891,0.5108219385147095,0.6498041152954102,0.12311141937971115,2.7433133456635326,0.7705067452196196,1.4547068328797954,0.701474607000597,1.0109426975250244,0.8427003900148556,5,0.0,0.0,56.82773109243697,62.60504201680672,0.0,0.0,0.0,False,,49.83089065551758,38.340336134453786,0.0,8
,SW of Wells Gray Park (51.6°N 120.4°W),Act 1,Act 1 core,3,all formulations,all formulations,441.0,0.8112393021583557,0.5964052081108093,0.9712880253791809,0.3687516748905182,0.8972283601760864,0.5049193501472473,0.9148120880126953,0.1357712745666504,3.0355652092539596,0.7697335279077722,1.3903938499947575,0.8172131283421828,1.346574068069458,0.8526748737882783,6,0.0,0.0,67.12018140589569,99.77324263038548,0.0,0.0,0.0,False,,51.55619430541992,49.65986394557823,0.0,9
,N of Granby Park (50.7°N 119.5°W),Act 1,Act 1 core,2,all formulations,all formulations,402.0,0.8926608562469482,0.21078433096408844,0.9713306427001953,0.3101239800453186,0.917808473110199,0.5203697085380554,0.7902750968933105,0.10908833146095276,3.971497431400093,0.682321966959339,1.4250633900587426,0.8452571460578922,1.148759126663208,0.8563004798972881,6,0.0,0.0,70.8955223880597,59.950248756218905,3.731343283582089,0.0,0.0,False,,50.8383903503418,1.7412935323383085,0.0,11
,E of Sawtooth Wilderness (44.0°N 114.8°W),Act 1,Act 1 core,2,all formulations,all formulations,390.0,0.7791059613227844,0.5588235855102539,0.9905120730400085,0.12473590672016144,0.684270977973938,0.3370477855205536,0.9562385678291321,0.3207758665084839,4.2108137512791854,0.40187065233721,1.1633346232187747,0.09883294563183355,1.5320215225219727,1.0201133173987575,7,0.0,0.0,99.23076923076923,100.0,0.0,0.0,0.0,False,,44.104366302490234,43.58974358974359,0.0,6
,SW of Valhalla Park (49.6°N 117.9°W),Act 1,Act 1 core,1,all formulations,all formulations,242.0,0.8435693979263306,0.17320263385772705,0.9588407874107361,0.31651994585990906,0.8851707577705383,0.668968915939331,0.5350572466850281,0.37913042306900024,3.993739580955588,0.6817390416589687,1.3787575015923623,1.1585073596130078,0.854060173034668,1.0144635913307805,4,4.132231404958678,0.0,67.76859504132231,4.132231404958678,0.0,0.0,0.0,False,,49.55595779418945,0.0,0.0,11
,NW of Anaconda Pintler Wilderness (46.1°N 113.8°W),Act 1,Act 1 core,1,all formulations,all formulations,205.0,0.7407858967781067,0.5653595328330994,0.9829221963882446,0.5264177918434143,0.8863964080810547,0.3502947688102722,0.930936872959137,0.3811349868774414,3.4013758492539665,1.7246553241753209,1.3780573400924685,0.19610099420448385,1.372327446937561,1.0324566463244342,6,0.0,5.853658536585367,99.51219512195122,100.0,0.0,0.0,0.0,False,,46.125511169433594,17.560975609756095,0.0,6
,SW of Frank Church River Of No Return Wilderness (44.5°N 116.0°W),Act 1,Act 1 core,1,all formulations,all formulations,175.0,0.8178524374961853,0.6879084706306458,0.9786288142204285,0.24207136034965515,0.6690235733985901,0.3911212682723999,0.9908377528190613,0.12560337781906128,3.339081251377347,0.6318975735328075,1.1635081216738044,0.1709507714251905,1.7781999111175537,0.8664749756140229,7,0.0,0.0,78.85714285714286,100.0,0.0,0.0,0.0,False,,44.53956604003906,0.0,0.0,9
,SE of Cabinet Mountains Wilderness (47.9°N 114.9°W),Act 1,Act 1 core,1,all formulations,all formulations,154.0,0.7516233921051025,0.6176470518112183,0.9635772705078125,0.3158722519874573,0.854168176651001,0.4582150876522064,0.3698425889015198,0.38154953718185425,2.733506744273264,0.6798104163446044,1.3623679073008241,0.20878085961822018,0.7001296281814575,1.0328639117643896,4,0.0,0.0,38.311688311688314,2.5974025974025974,0.0,0.0,0.0,False,,47.855831146240234,0.0,0.0,7
,W of Eagle Cap Wilderness (45.1°N 118.5°W),Act 1,Act 1 core,1,all formulations,all formulations,124.0,0.7865802645683289,0.6813726425170898,0.9870362281799316,0.29714468121528625,0.914371132850647,0.2564685344696045,0.7456091642379761,0.2092927098274231,3.792249578466303,0.6876571240744146,1.4121871262365535,0.055823019169611854,1.0701732635498047,0.9975125833344026,4,0.0,0.0,96.7741935483871,100.0,0.0,0.0,0.0,False,,45.09369659423828,0.0,0.0,7
,SE of Washakie Wilderness (44.0°N 109.3°W),Act 1,Act 1 core,1,all formulations,all formulations,109.0,0.8126461505889893,0.5980393290519714,0.9843077063560486,0.011980715207755566,0.37033575773239136,0.4866647720336914,0.9261232018470764,0.4419742524623871,3.8497527591491307,0.19939415076408157,0.8157605934617829,0.25346384349550855,1.3483200073242188,1.0372435802402509,5,0.0,0.0,92.66055045871559,100.0,0.0,0.0,0.0,False,,43.99202346801758,85.3211009174312,0.0,9
245-1,Purcell Wilderness Conservancy Park vicinity (50.0°N 116.4°W),Act 1 (245),Act 1 core (SSP245),10,all formulations,all formulations,14828.0,0.7632758021354675,0.06699346750974655,0.91987144947052,0.41169193387031555,0.7284151315689087,0.6073358654975891,0.7347666025161743,0.4781462848186493,3.3135739128186463,0.9791765083157614,1.2102807106763194,1.1982579352115645,1.1710717678070068,0.9969774524716194,8,3.0820070137577553,1.4904235230644725,52.67736714324251,62.13919611545724,0.0,0.0,0.0,False,,50.66340637207031,20.967089290531426,6.427029943350418,9
245-2,SW of Tahltan - Sacred Headwaters (Klappan) (56.8°N 129.3°W),Act 1 (245),Act 1 core (SSP245),10,all formulations,all formulations,8533.0,0.7783214449882507,0.06535948067903519,0.9543972015380859,0.6085202097892761,0.35055091977119446,0.6063298583030701,0.8360726833343506,0.7636263370513916,3.2942843696546404,1.1904046927241094,0.845105122147872,1.3267906943528212,1.2732841968536377,1.0445817551256336,7,2.6251025430680888,0.05859603890776984,68.74487284659557,82.40946911988749,0.0,0.0,0.0,False,,56.67274856567383,5.78928864408766,6.574475565451776,10
