tier,biodiversity,carbon,connectivity,core_habitat
existing PAs,0.1560189206015996,0.14946366523947557,0.14603772998617875,0.1916639009547981
core,0.014928610070238844,0.013538260122089,0.012261113689213596,0.057307549972304375
scenario tiers,0.039108454580447344,0.11109253218626035,0.04349072059275015,0.07615056750674691
opportunity,0.7895202651489619,0.7257625945683737,0.7978503026047206,0.6746703386929933
never,0.0004237495987522706,0.0001429478838014695,0.0003601331271369633,0.00020764287315733112
