band,unguarded km2,unguarded %disc,guarded km2,guarded %disc,SSP585 only km2,SSP585 only %disc,SSP245 only km2,SSP245 only %disc
"never [0.00, 0.05)",829,0.07662551934817471,257765,23.825545228929137,274647,25.385969858164223,300398,27.766167383779237
"rare [0.05, 0.30)",1019185,94.20455963434192,637924,58.964122804179745,616916,57.02232677225398,593954,54.89992004695508
"conditional [0.30, 0.70)",61867,5.718445121246713,157002,14.51189359312681,158964,14.693243736626352,146450,13.536558876405532
"frequent [0.70, 0.95)",4,0.000369725063199878,24666,2.2799096022220477,25714,2.376777568780416,30906,2.8566807008138575
"always [0.95, 1.00]",0,0.0,4528,0.41852877154226187,5644,0.5216820641750278,10177,0.9406729920462896
