theme,top-value footprint km2,% of unprotected land,% of footprint in core,% of footprint in scenario tiers,% of footprint in opportunity,% of footprint in never
core habitat,324566,30.0000462156329,8.9775269128621,13.258628445370125,77.76384464176778,0.0
connectivity,324567,30.0001386468987,2.1702760909149728,6.773023751644499,91.05670015744053,0.0
biodiversity,324641,30.006978560567898,4.554569509088501,6.9140989585418975,88.5313315323696,0.0
carbon,324566,30.0000462156329,3.628537801248436,10.839705945786065,84.43675554432689,1.0950007086386129
naturalness,324568,30.0002310781645,3.1238446180769515,6.06991447092751,88.15410021936852,2.6521406916270243
representativeness,6287,0.5811153680844082,0.33402258628916814,1.3679020200413552,84.110068395101,14.188006998568474
representativeness — 36 rare-attainable classes (NOT used),733560,67.80387934022562,3.0019357653089047,7.675445771307051,86.80489666830252,2.51772179508152
