number,name,act,driving_label,area_km2,mean_guarded_F,ratio_core habitat,ratio_connectivity,ratio_biodiversity,ratio_carbon,ratio_representativeness,ratio_naturalness
1,SW of Tahltan - Sacred Headwaters (Klappan) (56.8°N 129.3°W),Act 1,all formulations,10962.0,0.7811254858970642,3.4490629281989706,1.2399845124637574,0.8174134847079706,1.4064790708568737,1.2684237957000732,1.048815445604288
2,Purcell Wilderness Conservancy Park vicinity (50.1°N 116.4°W),Act 1,all formulations,11591.0,0.8299527764320374,3.9874394937119413,0.9855583192848189,1.215402722007641,1.1801042043568375,1.162984013557434,0.9983457441574302
3,N of Granby Park (49.9°N 118.7°W),Act 1,all formulations,952.0,0.7445745468139648,2.7433133456635326,0.7705067452196196,1.4547068328797954,0.701474607000597,1.0109426975250244,0.8427003900148556
4,NW of Frank Church River Of No Return Wilderness (45.2°N 115.6°W),Act 1,all formulations,3977.0,0.8536026477813721,4.7122349315507535,0.8637262731484839,1.335345449264116,0.20367461425808722,1.3645529747009277,1.0143625083602474
5,Tahltan - Sacred Headwaters (Klappan) vicinity (57.0°N 128.9°W),Act 2,Core-habitat-forward,12198.0,0.5796545147895813,2.534299860039124,1.1834607843322342,0.867998309765835,1.000061332163051,1.1868667602539062,1.0483617239876049
6,Purcell Wilderness Conservancy Park vicinity (49.9°N 116.3°W),Act 2,Core-habitat-forward,8680.0,0.5705788135528564,2.3000964145900125,0.801366249567211,1.1997994556701985,1.250026570659277,1.1525001525878906,0.9533088372667781
7,NW of Wilps Gwininitxw (56.6°N 128.3°W),Act 2,Connectivity-forward,2677.0,0.622447669506073,2.4685863181751344,1.6041181357190373,0.9135293866691334,0.8249520313144187,1.098120927810669,1.0518463777223883
8,S of Mount Robson Park (52.5°N 118.6°W),Act 2,Connectivity-forward,1428.0,0.5708965063095093,1.4664370001915015,1.6693049569450982,1.1390322814766616,1.158384549201416,1.4652454853057861,1.0092122443351135
9,S of Purcell Wilderness Conservancy Park (49.6°N 116.4°W),Act 2,Biodiversity-forward,529.0,0.6057180166244507,1.4934808745845274,0.7376738746960194,1.4058487044779007,0.6775339847872868,0.9281578063964844,0.9271347008078932
10,NE of Gospel Hump Wilderness (45.8°N 115.5°W),Act 2,Biodiversity-forward,157.0,0.6431143879890442,1.2058453425641686,1.0571849151744854,1.420087436889526,0.7316701767617484,1.3988595008850098,1.0201079697618136
11,E of Fishing Branch Wilderness Preserve (66.6°N 134.1°W),Act 2,Carbon-forward,4886.0,0.37465253472328186,0.3549465963432141,1.4152110117975478,0.4714813273855265,9.325697748326707,0.9394482374191284,1.0463886095867025
12,E of Nahanni National Park Reserve Of Canada (61.5°N 121.9°W),Act 2,Carbon-forward,4318.0,0.3347626328468323,0.44040603737831746,1.0912942649518738,0.859858022072914,7.923229640238563,1.0029441118240356,1.0427300480939632
