arm,block,mult,targets_from,influence_share,anchor_capture,tier_km2,own_km2,enrich_led,enrich_refugia,max_f,D,lead_over_refugia,verdict
s3_ssp585_theta5,biodiversity,1,,0.5001019818513393,0.3410403141356104,6471,521,1.152699023997882,4.240416708024192,1.0,0.9686918703660038,1.736562094261392,(base)
e18_s3x2_ssp585,biodiversity,2,,0.6667573110384698,0.3490383917356512,1024,0,1.2647580360938466,7.022624982148237,1.0,0.9988000733579606,3.473124188522784,SUBSTITUTABLE
e18_s3x5_ssp585,biodiversity,5,,0.8333899822145338,0.36273399277880924,0,0,,,0.6274509803921569,1.0,8.682810471306961,AMBIGUOUS
e18_s4x1_wonly_ssp585,carbon,1,s0_ssp585_theta5,0.4987441170320771,0.3702317826994316,16425,763,1.3982504736971468,4.033497510557971,1.0,0.926532002410333,7.627141592380579,SUBSTITUTABLE
s4_ssp585_theta3,carbon,1,,0.49987000385018254,0.4403818751845066,34787,20329,3.8269188959429457,2.0688155675536577,1.0,0.8535434514920485,4.590204962224319,(base)
s2_ssp585_theta5,connectivity,1,,0.49974692514227415,0.3350205717401804,11086,861,1.369599096990626,4.651051085573406,1.0,0.9629647095810736,1.5589507184536164,(base)
e18_s2x2_ssp585,connectivity,2,,0.6664416732774638,0.3664379337011511,12687,7925,2.3037693195082993,2.4394734081689884,1.0,0.9422253661348214,3.117901436907233,AMBIGUOUS
e18_s2x5_ssp585,connectivity,5,,0.8331926887320024,0.38362731642519904,34705,31780,2.119074433304081,0.8795210579658878,1.0,0.8453195001178967,7.794753592268083,WEIGHT-LIMITED
