band,unguarded km2,unguarded %disc,guarded km2,guarded %disc,SSP585 only km2,SSP585 only %disc,SSP245 only km2,SSP245 only %disc
"never [0.00, 0.05)",8967,15.68726929199979,8970,15.692517625653855,9099,15.918195972778642,9381,16.411539336260738
"rare [0.05, 0.30)",40178,70.28918318433897,40173,70.2804359615822,39889,69.78359370899739,39527,69.1502947814069
"conditional [0.30, 0.70)",6922,12.109655184478928,6924,12.113154073581638,7047,12.328335753398296,7198,12.592501880652893
"frequent [0.70, 0.95)",1008,1.7634401077657844,1008,1.7634401077657844,1040,1.8194223334091426,969,1.6952117702629415
"always [0.95, 1.00]",86,0.15045223141652525,86,0.15045223141652525,86,0.15045223141652525,86,0.15045223141652525
