,s0,anchor_min,anchor_max
core_habitat,0.5568066768596697,0.5445709175255806,0.5779958044930416
connectivity,0.49641336398260943,0.48292947101985617,0.5157810968797742
carbon,0.570706566345279,0.5668861060769526,0.5914736893106534
biodiversity,0.43120678089719156,0.42953889845037174,0.43578349467260546
