value,pct_of_extent_total_in_PAs,S0_target,pct_of_target_already_banked,pct_still_needed_from_unprotected_land,enrichment_existing_PAs,enrichment_S0_new_half
human_modification,35.56532595677386,1.0,35.56532595677386,64.43467404322614,1.0824334672808629,0.9077378543465772
transboundary_connectivity,38.49886240696165,1.0,38.49886240696165,61.501137593038344,1.17171587776772,1.0877266384459006
climate_corridors,35.990138090472655,1.0,35.990138090472655,64.00986190952734,1.0953626576777522,1.005657973116356
climate_type_macrorefugia,45.55600542658712,1.0,45.55600542658712,54.44399457341288,1.3865005755690123,0.854847636742819
irrecoverable_carbon_biomass,23.91309436373305,1.0,23.91309436373305,76.08690563626695,0.7277968906290884,1.2418196316404635
irrecoverable_carbon_m_soc,71.4207666042447,0.322,221.80362299454876,0.0,2.173696597783199,0.3461351801691951
aoh_richness_mammals,32.52171158134025,1.0,32.52171158134025,67.47828841865974,0.9898008265602173,0.9881382836022883
aoh_richness_birds,29.84010395282632,1.0,29.84010395282632,70.15989604717367,0.9081858893950961,1.028064169788487
