aoi,km2_unlocked,share_of_unprotected_pct,core_inside_km2,scenario_inside_km2,opportunity_inside_km2,mean_F_inside,mean_F_unprotected,mean_f_s1,mean_f_s2,mean_f_s3,mean_f_s4
Upper Smoky Nature-First zone,436,0.7627578243907559,0,4,432,0.2794642448425293,0.17639648914337158,0.3752923309803009,0.3288586139678955,0.1807204633951187,0.268146276473999
Upper Smoky SRP planning area,10028,17.543429960987385,0,174,9825,0.19133387506008148,0.17639648914337158,0.15166357159614563,0.194086953997612,0.19676867127418518,0.22026170790195465
