act,key,cid,cells,km2,meanF,minF,row,col,kept,lat,lon,name,complex,core_overlap_pct,residual_km2
Act 2,s2,24,1,1.0,1.0,1.0,1942.0,775.0,False,52.509761198501906,-118.26834379381452,,-1,100.0,0.0
Act 2,s2,25,1,1.0,1.0,1.0,1947.0,778.0,False,52.474015191466,-118.20543548578186,,-1,100.0,0.0
Act 2,s2,27,1,1.0,1.0,1.0,1990.0,806.0,False,52.17010134206447,-117.6350895334778,,-1,100.0,0.0
Act 2,s2,32,1,1.0,1.0,1.0,2009.0,826.0,False,52.049887955150915,-117.27147638979032,,-1,100.0,0.0
Act 2,s2,33,1,1.0,1.0,1.0,2011.0,865.0,False,52.106513202683274,-116.68265531581166,,-1,100.0,0.0
Act 2,s2,34,1,1.0,1.0,1.0,2014.0,866.0,False,52.08326832252765,-116.65778266704186,,-1,100.0,0.0
Act 2,s2,35,1,1.0,1.0,1.0,2031.0,838.0,False,51.88885179401832,-117.01850533164298,,-1,100.0,0.0
Act 2,s2,36,1,1.0,1.0,1.0,2042.0,838.0,False,51.79697138581606,-116.98169331675147,,-1,100.0,0.0
Act 2,s2,37,1,1.0,1.0,1.0,2045.0,853.0,False,51.79994455163254,-116.74895396616185,,-1,100.0,0.0
Act 2,s2,38,1,1.0,1.0,1.0,2045.0,858.0,False,51.809222369834735,-116.6746615071228,,-1,100.0,0.0
Act 2,s2,43,1,1.0,1.0,1.0,2095.0,873.0,False,51.41889045450063,-116.28989115431382,,-1,100.0,0.0
Act 2,s2,48,1,1.0,1.0,1.0,2149.0,902.0,False,51.01952071092156,-115.69279946558329,,-1,100.0,0.0
Act 2,s2,50,1,1.0,1.0,1.0,2171.0,905.0,False,50.840954810160625,-115.58108261253312,,-1,100.0,0.0
Act 2,s2,56,1,1.0,1.0,1.0,2222.0,940.0,False,50.47496411831962,-114.91708284129236,,-1,100.0,0.0
Act 2,s2,58,1,1.0,1.0,1.0,2239.0,946.0,False,50.342968655401236,-114.78004696735056,,-1,100.0,0.0
Act 2,s2,59,1,1.0,1.0,1.0,2245.0,946.0,False,50.29281868067694,-114.76257040223462,,-1,100.0,0.0
Act 2,s2,60,1,1.0,1.0,1.0,2247.0,946.0,False,50.27610299510288,-114.75675201199127,,-1,100.0,0.0
Act 2,s2,63,1,1.0,1.0,1.0,2261.0,945.0,False,50.15743446458034,-114.73059916169079,,-1,100.0,0.0
Act 2,s2,64,1,1.0,1.0,1.0,2266.0,945.0,False,50.115657092287535,-114.71612019137417,,-1,100.0,0.0
Act 2,s2,66,1,1.0,1.0,1.0,2273.0,948.0,False,50.06217589578165,-114.6525312241825,,-1,100.0,0.0
Act 2,s2,67,1,1.0,1.0,1.0,2273.0,1015.0,False,50.17091489788873,-113.68222841046082,,-1,100.0,0.0
Act 2,s2,80,1,1.0,1.0,1.0,2331.0,934.0,False,49.55454639524798,-114.68744977378263,,-1,100.0,0.0
Act 2,s2,82,1,1.0,1.0,1.0,2354.0,940.0,False,49.37257446521454,-114.53625426359548,,-1,100.0,0.0
Act 2,s2,83,1,1.0,1.0,1.0,2395.0,962.0,False,49.06633716466588,-114.10858912479101,,-1,100.0,0.0
Act 2,s2,42,1,1.0,0.9019607901573181,0.9019608,2062.0,910.0,False,51.76142020824604,-115.84662906598386,,-1,0.0,1.0
Act 2,s2,49,1,1.0,0.8333333730697632,0.8333334,2163.0,938.0,False,50.964957050320606,-115.12170204836873,,-1,0.0,1.0
Act 2,s2,54,1,1.0,0.8333333730697632,0.8333334,2207.0,985.0,False,50.67534206093379,-114.30401794134409,,-1,0.0,1.0
Act 2,s2,3,1,1.0,0.7941176891326904,0.7941177,1645.0,741.0,False,54.924555862128074,-119.91989119559464,,-1,0.0,1.0
Act 2,s2,62,1,1.0,0.7745097875595093,0.7745098,2250.0,998.0,False,50.33639263688383,-113.99283322520706,,-1,0.0,1.0
Act 2,s2,51,1,1.0,0.7647058963775635,0.7647059,2197.0,979.0,False,50.74922626067052,-114.4205385114948,,-1,0.0,1.0
Act 2,s2,41,1,1.0,0.7352941036224365,0.7352941,2060.0,909.0,False,51.77638596237739,-115.86783229243353,,-1,0.0,1.0
Act 2,s2,84,1,1.0,0.7352941036224365,0.7352941,2409.0,1009.0,False,49.023801754585136,-113.40273516197911,,-1,0.0,1.0
Act 2,s2,87,1,1.0,0.7352941036224365,0.7352941,2412.0,1013.0,False,49.004922517543704,-113.3379560238108,,-1,0.0,1.0
Act 2,s2,29,1,1.0,0.7156863212585449,0.7156863,2002.0,878.0,False,52.205858955446665,-116.51789214506132,,-1,0.0,1.0
Act 2,s2,39,1,1.0,0.7156863212585449,0.7156863,2057.0,986.0,False,51.934832999232434,-114.72820138673504,,-1,0.0,1.0
Act 2,s2,53,1,1.0,0.7156863212585449,0.7156863,2200.0,984.0,False,50.7323246469108,-114.33870073947881,,-1,0.0,1.0
Act 2,s2,5,1,1.0,0.7058823704719543,0.7058824,1662.0,788.0,False,54.88174164175493,-119.11648410126612,,-1,0.0,1.0
Act 2,s2,44,1,1.0,0.7058823704719543,0.7058824,2114.0,987.0,False,51.45809213842759,-114.5441934916974,,-1,0.0,1.0
Act 2,s2,46,1,1.0,0.7058823704719543,0.7058824,2124.0,984.0,False,51.3692307136499,-114.55927643696896,,-1,0.0,1.0
Act 2,s2,85,1,1.0,0.7058823704719543,0.7058824,2409.0,1011.0,False,49.02690280733202,-113.37429332720068,,-1,0.0,1.0
Act 2,s3,13,412,412.0,0.9932181611431093,0.019607844,1862.7985436893205,888.8300970873786,False,53.39351332491338,-116.82089508643685,,-1,99.27184466019418,3.0
Act 2,s3,38,324,324.0,0.7170479453088324,0.38235295,2252.0833333333335,985.6574074074074,True,50.299008820367625,-114.16642319892762,S of Oh Ranch (50.3°N 114.2°W),1,58.95061728395062,133.0
Act 2,s3,64,214,214.0,0.9933113433490289,0.25490198,2331.892523364486,1007.7336448598131,False,49.66655260482715,-113.62690606861209,,-1,99.06542056074767,2.0
Act 2,s3,56,96,96.0,0.9804942811218401,0.0,2289.21875,1011.90625,False,50.03023322736385,-113.6827058468733,,-1,97.91666666666667,2.0
Act 2,s3,55,29,29.0,0.9459093988969408,0.12745099,2285.655172413793,945.0,False,49.95145660782126,-114.65941635621174,,-1,93.10344827586206,2.0
Act 2,s3,66,15,15.0,0.9000000009934107,0.18627451,2325.4666666666667,932.9333333333333,False,49.598943789225714,-114.71857347024581,,-1,86.66666666666667,2.0
Act 2,s3,58,9,9.0,1.0,1.0,2302.222222222222,1011.5555555555555,False,49.92083555922886,-113.65232368682238,,-1,100.0,0.0
Act 2,s3,59,9,9.0,1.0,1.0,2311.0,941.4444444444445,False,49.73388270542637,-114.63788685398632,,-1,100.0,0.0
Act 2,s3,47,8,8.0,0.6973039284348488,0.5,2267.75,982.0,False,50.16198751955346,-114.17537886697191,,-1,62.5,3.0
Act 2,s3,63,7,7.0,1.0,1.0,2313.0,1017.0,False,49.83918666200383,-113.5445057476552,,-1,100.0,0.0
Act 2,s3,34,7,7.0,0.7338935817990985,0.7156863,2215.285714285714,980.5714285714286,False,50.598707785991515,-114.3450413033156,,-1,42.857142857142854,4.0
Act 2,s3,5,6,6.0,1.0,1.0,1795.5,713.6666666666666,False,53.6059000370363,-119.74497766979184,,-1,100.0,0.0
Act 2,s3,62,6,6.0,1.0,1.0,2312.5,1012.1666666666666,False,49.83578257355019,-113.61558288574604,,-1,100.0,0.0
Act 2,s3,65,6,6.0,1.0,1.0,2320.5,937.5,False,49.64801121298217,-114.66732672592197,,-1,100.0,0.0
Act 2,s3,35,6,6.0,0.7271241943041483,0.57843137,2215.8333333333335,986.1666666666666,False,50.60328184573917,-114.26174669560247,,-1,33.333333333333336,4.0
Act 2,s3,1,5,5.0,1.0,1.0,1777.0,707.8,False,53.74778952923921,-119.90716759674307,,-1,100.0,0.0
Act 2,s3,6,5,5.0,1.0,1.0,1798.8,703.8,False,53.55722306171295,-119.88252273290989,,-1,100.0,0.0
Act 2,s3,11,4,4.0,1.0,1.0,1833.0,729.25,False,53.3258416430932,-119.36284849564291,,-1,100.0,0.0
Act 2,s3,18,4,4.0,1.0,1.0,1951.5,774.0,False,52.42849037170549,-118.24926957894533,,-1,100.0,0.0
Act 2,s3,42,4,4.0,1.0,1.0,2250.0,946.5,False,50.251867561956054,-114.74078089239487,,-1,100.0,0.0
Act 2,s3,52,4,4.0,0.6838235557079315,0.5294118,2273.75,978.5,False,50.106111305728106,-114.20919240418147,,-1,75.0,1.0
Act 2,s3,3,3,3.0,1.0,1.0,1789.0,714.6666666666666,False,53.66231028158619,-119.75510601874755,,-1,100.0,0.0
Act 2,s3,12,3,3.0,1.0,1.0,1837.0,729.0,False,53.29192713069307,-119.35136657559461,,-1,100.0,0.0
Act 2,s3,57,3,3.0,1.0,1.0,2287.6666666666665,1014.3333333333334,False,50.047057862313174,-113.65180761061828,,-1,100.0,0.0
Act 2,s3,60,3,3.0,1.0,1.0,2307.0,1012.0,False,49.88154895235521,-113.6329151301357,,-1,100.0,0.0
Act 2,s3,61,3,3.0,1.0,1.0,2307.0,1017.0,False,49.88940757828946,-113.560726257891,,-1,100.0,0.0
Act 2,s3,68,3,3.0,1.0,1.0,2335.3333333333335,1014.3333333333334,False,49.648121857064844,-113.52273249942232,,-1,100.0,0.0
Act 2,s3,50,3,3.0,0.8202614386876425,0.7352941,2273.0,988.0,False,50.127781492500915,-114.07370886335941,,-1,66.66666666666667,1.0
Act 2,s3,33,3,3.0,0.7320261597633362,0.7156863,2210.0,984.0,False,50.64858307344219,-114.31006247718896,,-1,0.0,3.0
Act 2,s3,2,2,2.0,1.0,1.0,1785.5,713.5,False,53.68904244596154,-119.78662847308637,,-1,100.0,0.0
Act 2,s3,4,2,2.0,1.0,1.0,1794.5,703.0,False,53.59138445773045,-119.9116001709472,,-1,100.0,0.0
Act 2,s3,9,2,2.0,1.0,1.0,1822.0,710.5,False,53.37798870172583,-119.69008160263743,,-1,100.0,0.0
Act 2,s3,10,2,2.0,1.0,1.0,1824.5,712.5,False,53.36138730868326,-119.65000953593015,,-1,100.0,0.0
Act 2,s3,48,2,2.0,1.0,1.0,2269.5,946.0,False,50.088084352454466,-114.6915396953161,,-1,100.0,0.0
Act 2,s3,45,2,2.0,0.7254902124404907,0.7156863,2263.0,999.5,False,50.22997038071238,-113.93480085053201,,-1,0.0,2.0
Act 2,s3,7,1,1.0,1.0,1.0,1808.0,707.0,False,53.4873195095863,-119.79778396067287,,-1,100.0,0.0
Act 2,s3,8,1,1.0,1.0,1.0,1810.0,707.0,False,53.47063269395308,-119.78997915274238,,-1,100.0,0.0
Act 2,s3,14,1,1.0,1.0,1.0,1887.0,764.0,False,52.94676397408108,-118.63382039388037,,-1,100.0,0.0
Act 2,s3,15,1,1.0,1.0,1.0,1908.0,773.0,False,52.789593958718385,-118.42121218860908,,-1,100.0,0.0
Act 2,s3,16,1,1.0,1.0,1.0,1942.0,775.0,False,52.509761198501906,-118.26834379381452,,-1,100.0,0.0
Act 2,s3,17,1,1.0,1.0,1.0,1947.0,778.0,False,52.474015191466,-118.20543548578186,,-1,100.0,0.0
Act 2,s3,19,1,1.0,1.0,1.0,1990.0,806.0,False,52.17010134206447,-117.6350895334778,,-1,100.0,0.0
Act 2,s3,20,1,1.0,1.0,1.0,2009.0,826.0,False,52.049887955150915,-117.27147638979032,,-1,100.0,0.0
Act 2,s3,21,1,1.0,1.0,1.0,2011.0,865.0,False,52.106513202683274,-116.68265531581166,,-1,100.0,0.0
Act 2,s3,22,1,1.0,1.0,1.0,2014.0,866.0,False,52.08326832252765,-116.65778266704186,,-1,100.0,0.0
Act 2,s3,23,1,1.0,1.0,1.0,2031.0,838.0,False,51.88885179401832,-117.01850533164298,,-1,100.0,0.0
Act 2,s3,24,1,1.0,1.0,1.0,2042.0,838.0,False,51.79697138581606,-116.98169331675147,,-1,100.0,0.0
Act 2,s3,25,1,1.0,1.0,1.0,2045.0,858.0,False,51.809222369834735,-116.6746615071228,,-1,100.0,0.0
Act 2,s3,27,1,1.0,1.0,1.0,2095.0,873.0,False,51.41889045450063,-116.28989115431382,,-1,100.0,0.0
Act 2,s3,29,1,1.0,1.0,1.0,2149.0,902.0,False,51.01952071092156,-115.69279946558329,,-1,100.0,0.0
Act 2,s3,30,1,1.0,1.0,1.0,2171.0,905.0,False,50.840954810160625,-115.58108261253312,,-1,100.0,0.0
Act 2,s3,36,1,1.0,1.0,1.0,2222.0,940.0,False,50.47496411831962,-114.91708284129236,,-1,100.0,0.0
Act 2,s3,39,1,1.0,1.0,1.0,2239.0,946.0,False,50.342968655401236,-114.78004696735056,,-1,100.0,0.0
Act 2,s3,40,1,1.0,1.0,1.0,2245.0,946.0,False,50.29281868067694,-114.76257040223462,,-1,100.0,0.0
Act 2,s3,41,1,1.0,1.0,1.0,2247.0,946.0,False,50.27610299510288,-114.75675201199127,,-1,100.0,0.0
Act 2,s3,44,1,1.0,1.0,1.0,2261.0,945.0,False,50.15743446458034,-114.73059916169079,,-1,100.0,0.0
Act 2,s3,46,1,1.0,1.0,1.0,2266.0,945.0,False,50.115657092287535,-114.71612019137417,,-1,100.0,0.0
Act 2,s3,51,1,1.0,1.0,1.0,2273.0,948.0,False,50.06217589578165,-114.6525312241825,,-1,100.0,0.0
Act 2,s3,54,1,1.0,1.0,1.0,2273.0,1015.0,False,50.17091489788873,-113.68222841046082,,-1,100.0,0.0
Act 2,s3,67,1,1.0,1.0,1.0,2331.0,934.0,False,49.55454639524798,-114.68744977378263,,-1,100.0,0.0
Act 2,s3,69,1,1.0,1.0,1.0,2354.0,940.0,False,49.37257446521454,-114.53625426359548,,-1,100.0,0.0
Act 2,s3,70,1,1.0,1.0,1.0,2395.0,962.0,False,49.06633716466588,-114.10858912479101,,-1,100.0,0.0
Act 2,s3,37,1,1.0,0.7745097875595093,0.7745098,2225.0,971.0,False,50.50165348067488,-114.45683136470812,,-1,100.0,0.0
Act 2,s3,28,1,1.0,0.7352941036224365,0.7352941,2123.0,981.0,False,51.37262084187378,-114.6066419197062,,-1,0.0,1.0
Act 2,s3,31,1,1.0,0.7254902124404907,0.7254902,2197.0,979.0,False,50.74922626067052,-114.4205385114948,,-1,0.0,1.0
Act 2,s3,43,1,1.0,0.7254902124404907,0.7254902,2250.0,998.0,False,50.33639263688383,-113.99283322520706,,-1,0.0,1.0
Act 2,s3,26,1,1.0,0.7156863212585449,0.7156863,2058.0,989.0,False,51.931471296520634,-114.68032732796823,,-1,0.0,1.0
Act 2,s3,32,1,1.0,0.7156863212585449,0.7156863,2207.0,985.0,False,50.67534206093379,-114.30401794134409,,-1,0.0,1.0
Act 2,s3,49,1,1.0,0.7156863212585449,0.7156863,2269.0,993.0,False,50.16931199991642,-114.01240775051018,,-1,0.0,1.0
Act 2,s3,53,1,1.0,0.7156863212585449,0.7156863,2273.0,984.0,False,50.121312410749894,-114.13165326609716,,-1,0.0,1.0
Act 2,s4,57,412,412.0,0.9930991814336152,0.0,1862.7985436893205,888.8300970873786,False,53.39351332491338,-116.82089508643685,,-1,99.27184466019418,3.0
Act 2,s4,93,341,341.0,0.7220401536684232,0.39215687,2251.302052785924,984.6598240469208,True,50.30392646265722,-114.1831226008961,S of Oh Ranch (50.3°N 114.2°W),5,56.89149560117302,147.0
Act 2,s4,119,214,214.0,0.9931739052043898,0.2647059,2331.892523364486,1007.7336448598131,False,49.66655260482715,-113.62690606861209,,-1,99.06542056074767,2.0
Act 2,s4,111,96,96.0,0.9797794117669886,0.0,2289.21875,1011.90625,False,50.03023322736385,-113.6827058468733,,-1,97.91666666666667,2.0
Act 2,s4,10,56,56.0,0.6846988956843104,0.47058824,1643.2857142857142,742.8928571428571,True,54.94304430681666,-119.89717854240054,Upper Smoky SRP planning area vicinity (54.9°N 119.9°W),2,0.0,56.0
Act 2,s4,41,46,46.0,0.689045197289923,0.4117647,1694.5434782608695,822.0434782608696,True,54.67811710637442,-118.45881144577358,E of Upper Smoky SRP planning area (54.7°N 118.5°W),1,0.0,46.0
Act 2,s4,15,33,33.0,0.7355912264549371,0.49019608,1662.4545454545455,747.3939393939394,True,54.79181994603433,-119.74985796416189,Upper Smoky SRP planning area vicinity (54.8°N 119.7°W),2,0.0,33.0
Act 2,s4,109,29,29.0,0.9580797840809,0.34313726,2285.655172413793,945.0,False,49.95145660782126,-114.65941635621174,,-1,93.10344827586206,2.0
Act 2,s4,42,25,25.0,0.7070588374137878,0.5294118,1692.28,812.92,True,54.6785628432964,-118.60998549881681,Upper Smoky SRP planning area vicinity (54.7°N 118.6°W),1,0.0,25.0
Act 2,s4,33,20,20.0,0.7171568810939789,0.63725495,1682.35,807.0,True,54.74996993814172,-118.74041061299513,Upper Smoky SRP planning area vicinity (54.7°N 118.7°W),1,0.0,20.0
Act 2,s4,121,15,15.0,0.8960784325997034,0.14705883,2325.4666666666667,932.9333333333333,False,49.598943789225714,-114.71857347024581,,-1,86.66666666666667,2.0
Act 2,s4,43,15,15.0,0.6921568771203359,0.47058824,1697.6,831.0,True,54.6705265875674,-118.30727792798653,E of Upper Smoky SRP planning area (54.7°N 118.3°W),1,0.0,15.0
Act 2,s4,2,14,14.0,0.7156862914562225,0.61764705,1600.5,749.7142857142857,True,55.31739519934685,-119.96339537888669,N of Upper Smoky SRP planning area (55.3°N 120.0°W),4,0.0,14.0
Act 2,s4,14,13,13.0,0.7533936821497403,0.7058824,1650.5384615384614,775.3846153846154,True,54.95159564929441,-119.35917152309047,N of Upper Smoky SRP planning area (55.0°N 119.4°W),3,0.0,13.0
Act 2,s4,34,10,10.0,0.7009804129600525,0.59803927,1677.0,816.2,True,54.81388799661081,-118.61680254482881,Upper Smoky SRP planning area vicinity (54.8°N 118.6°W),1,0.0,10.0
Act 2,s4,113,9,9.0,1.0,1.0,2302.222222222222,1011.5555555555555,False,49.92083555922886,-113.65232368682238,,-1,100.0,0.0
Act 2,s4,114,9,9.0,1.0,1.0,2311.0,941.4444444444445,False,49.73388270542637,-114.63788685398632,,-1,100.0,0.0
Act 2,s4,18,9,9.0,0.7233115567101372,0.65686274,1661.7777777777778,755.6666666666666,False,54.8152263426559,-119.6233246255808,,-1,0.0,9.0
