fid,country,MappingUnit,name,label_state,ne_state,state_label_ok,name_collision,n_groups,area_km2,in_y2y_km2,frac_in_y2y,n_parts
55,USA,Shoshone County_Idaho,Shoshone County,Idaho,Idaho,True,False,,6844.86,6844.86,1.0,1
56,USA,Teton County_Wyoming,Teton County,Wyoming,Idaho,False,True,1.0,1166.01,1166.01,1.0,1
57,USA,Valley County_Idaho,Valley County,Idaho,Idaho,True,False,,9669.72,9669.72,1.0,1
58,USA,Washington County_Idaho,Washington County,Idaho,Idaho,True,False,,3816.1,3816.1,1.0,1
59,USA,Beaverhead County_Montana,Beaverhead County,Montana,Montana,True,False,2.0,14433.84,14433.84,1.0,1
60,USA,Broadwater County_Montana,Broadwater County,Montana,Montana,True,False,,3206.69,3206.69,1.0,1
61,USA,Carbon County_Montana,Carbon County,Montana,Montana,True,False,1.0,1899.39,1899.38,0.99999,1
62,USA,Cascade County_Montana,Cascade County,Montana,Montana,True,False,,1748.28,1748.28,1.0,2
63,USA,Deer Lodge County_Montana,Deer Lodge County,Montana,Montana,True,False,,1920.19,1920.19,1.0,1
64,USA,Flathead County_Montana,Flathead County,Montana,Montana,True,False,2.0,13612.97,13612.97,1.0,1
65,USA,Gallatin County_Idaho,Gallatin County,Idaho,Montana,False,False,,6821.47,6821.47,1.0,1
66,USA,Glacier County_Montana,Glacier County,Montana,Montana,True,False,1.0,4127.44,4127.42,0.99999,1
67,USA,Granite County_Montana,Granite County,Montana,Montana,True,False,,4487.86,4487.86,1.0,1
68,USA,Jefferson County_Montana,Jefferson County,Montana,Montana,True,False,,4297.84,4297.84,1.0,1
69,USA,Judith Basin County_Montana,Judith Basin County,Montana,Montana,True,False,,2729.41,2729.4,1.0,1
70,USA,Lake County_Montana,Lake County,Montana,Montana,True,False,2.0,4283.83,4283.83,1.0,1
71,USA,Lewis and Clark County_Montana,Lewis and Clark County,Montana,Montana,True,False,1.0,9005.03,9005.03,1.0,1
72,USA,Lincoln County_Montana,Lincoln County,Montana,Montana,True,True,1.0,9518.0,9518.0,1.0,1
73,USA,Madison County_Montana,Madison County,Montana,Montana,True,True,2.0,9333.12,9333.12,1.0,1
