feature,code,cells,pct_pu,pct_in_PAs,banked_capture,cap_max,leverage,rare_attainable,le1pct_footprint,south_share,mean_lat,target_on_extent
T6.1.web.map_v1.0,T6.1,247,0.2901342605100255,97.97570850202429,0.979757085020243,1.0,1.0,True,True,0.8866396761133604,52.18425750732422,1.0
T4.4.web.orig_v1.0,T4.4,1371,1.610421340725688,2.5528811086797956,0.025528811086797956,1.0,1.0,True,False,1.0,50.432857513427734,0.9485668078164881
T5.1.web.mix_v1.0,T5.1,2391,2.8085466270423924,0.12547051442910914,0.0011115227862171174,1.0,1.0,True,False,1.0,49.72646713256836,0.8579106994870624
TF1.6_TF1.7.web.merged_v3,TF1.6_TF1.7,3919,4.603385291250161,0.0,0.0,1.0,1.0,True,False,0.08037764735902016,54.72787094116211,0.7773681846920186
T2.2.web.mix_v1.0,T2.2,5290,6.213806631975849,0.6616257088846881,0.004842615012106538,1.0,1.0,True,False,0.3187145557655955,53.61474609375,0.7284710616291659
T6.2.web.alt_v2.0,T6.2,10206,11.988300658968907,91.58338232412306,0.9158338232412306,1.0,1.0,True,False,0.7927689594356261,52.48906707763672,0.6213541605240496
T6.3.web.map_v1.0,T6.3,13634,16.01494132709995,78.09887047088162,0.7809887047088162,1.0,1.0,True,False,0.5670382866363503,52.85334396362305,0.5741507473067662
S1.1_SF1.1.web.merged_v3,S1.1_SF1.1,14417,16.934678679243067,96.17812304917805,0.9617812304917805,1.0,1.0,True,False,0.6274537004924742,52.684669494628906,0.5650485813496242
F1.3.web.map_v1.0,F1.3,15487,18.191535597241963,32.84044682637051,0.32840446826370506,1.0,1.0,True,False,0.5742881126105767,52.5440673828125,0.5533789149674179
F2.4.web.mix_v1.0,F2.4,31225,36.67790398552852,41.297037630104086,0.4470071977095764,0.847884836646777,0.847884836646777,False,False,0.5661489191353083,52.66270446777344,0.43908012816115594
T6.4.web.orig_v1.0,T6.4,44340,52.08321097576733,62.34325665313487,0.6234325665313487,0.5760036084799278,0.5760036084799278,False,False,0.6493910690121786,52.2235107421875,0.38192110121995604
SF1.2.web.orig_v1.0,SF1.2,47710,56.04172295114703,6.50387759379585,0.06689302074912422,0.550579358663433,0.550579358663433,False,False,0.3771955564871096,53.28084182739258,0.3699807045049158
T2.1.web.mix_v1.0,T2.1,82742,97.19145337295761,33.80266370162674,0.2857452308403252,0.3688246422227678,0.20167660692882003,False,False,0.5525247153803389,52.659446716308594,0.28023494892352796
