act,key,cid,km2,mean_F2,min_F2,lat,lon,pct_core habitat,pct_connectivity,pct_biodiversity,pct_carbon,pct_intactness,pct_representativeness,driver_msoc_tail,driver_rare_efg,driver_conn_spike,pct_within_5km_PA,pct_in_NFZ,pct_private_ranchland,pct_crown,n_formulations_frequent
core,ensemble,13,412.0,0.9144162535667419,0.009803921915590763,53.39351332491338,-116.82089508643685,0.36617961525917053,0.32450956106185913,0.7390750646591187,0.5658743977546692,0.2796202003955841,0.2962962962962963,0.0,99.27184466019418,0.0,0.0,0.0,0.0,100.0,12
core,ensemble,37,307.0,0.7106132507324219,0.4089636206626892,50.30336033821969,-114.17799862613946,0.6663143038749695,0.7952967286109924,0.22121261060237885,0.1379309445619583,0.2983156442642212,0.48148148148148145,0.0,0.0,0.0,7.81758957654723,0.0,57.32899022801303,42.34527687296417,12
core,ensemble,59,214.0,0.9186562299728394,0.23669469356536865,49.66655260482715,-113.62690606861209,0.0681442990899086,0.4289509654045105,0.09231602400541306,0.21375446021556854,0.08330602198839188,0.4444444444444444,0.0,99.06542056074767,0.0,0.0,0.0,69.1588785046729,4.205607476635514,12
core,ensemble,51,96.0,0.8960667252540588,0.02240896411240101,50.03023322736385,-113.6827058468733,0.07863716781139374,0.3113354444503784,0.16308240592479706,0.15511544048786163,0.02674427069723606,0.4074074074074074,0.0,97.91666666666666,0.0,0.0,0.0,46.875,5.208333333333334,12
core,ensemble,50,29.0,0.9508837461471558,0.25770309567451477,49.95145660782126,-114.65941635621174,0.9580091238021851,0.4774128794670105,0.27764439582824707,0.805985689163208,0.6656824350357056,0.3333333333333333,31.03448275862069,93.10344827586206,0.0,0.0,0.0,0.0,100.0,14
core,ensemble,61,15.0,0.8942110538482666,0.18207286298274994,49.598943789225714,-114.71857347024581,0.9158925414085388,0.5461999177932739,0.9281952977180481,0.5816826224327087,0.17518121004104614,0.3333333333333333,0.0,86.66666666666667,0.0,100.0,0.0,0.0,100.0,14
scenario,s2,55,668.0,0.588080108165741,0.22268910706043243,50.334754383462574,-114.21132552304725,0.6707395315170288,0.7449841499328613,0.19962430000305176,0.14865364134311676,0.29390749335289,0.5185185185185185,0.0,0.0,0.0,42.21556886227545,0.0,54.94011976047904,44.461077844311376,2
scenario,s1@585,52,393.0,0.6162358522415161,0.22268910706043243,50.26700848180255,-114.16501975789618,0.676978349685669,0.7354407906532288,0.22857347130775452,0.15578164160251617,0.351043701171875,0.5185185185185185,0.0,0.0,0.0,17.8117048346056,0.0,46.56488549618321,53.18066157760815,2
scenario,s1@245,62,203.0,0.6364132165908813,0.4089636206626892,50.300012564158536,-114.18329067883649,0.6791430115699768,0.7548697590827942,0.24816496670246124,0.1483761966228485,0.3410995602607727,0.4444444444444444,0.0,0.0,0.0,15.270935960591133,0.0,51.231527093596064,48.275862068965516,5
scenario,s1@245,77,133.0,0.249720960855484,0.14705884456634521,49.807704896320736,-114.60313673659248,0.9033851623535156,0.47382625937461853,0.7191017270088196,0.5721766352653503,0.3311567008495331,0.25925925925925924,3.007518796992481,0.0,1.5037593984962405,0.0,0.0,0.0,100.0,1
scenario,s4,93,127.0,0.6378284692764282,0.4089636206626892,50.30392646265722,-114.1831226008961,0.6756389737129211,0.7712304592132568,0.197831392288208,0.14105777442455292,0.30784785747528076,0.4444444444444444,0.0,0.0,0.0,11.811023622047244,0.0,48.818897637795274,51.181102362204726,5
scenario,s3,38,113.0,0.6333631277084351,0.4089636206626892,50.299008820367625,-114.16642319892762,0.66346275806427,0.745922863483429,0.166689932346344,0.1344880610704422,0.27283036708831787,0.4444444444444444,0.0,0.0,0.0,8.849557522123893,0.0,57.52212389380531,42.47787610619469,5
scenario,s4,10,56.0,0.5292367339134216,0.4033612906932831,54.94304430681666,-119.89717854240054,0.02096303179860115,0.6294652223587036,0.5035830736160278,0.5911703109741211,0.4017312228679657,0.37037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0
scenario,s1@585,48,55.0,0.6072065830230713,0.17787115275859833,50.48511842639183,-114.5081941337763,0.7796176671981812,0.7975805401802063,0.640338122844696,0.2613331377506256,0.5773526430130005,0.3333333333333333,0.0,0.0,0.0,12.727272727272727,0.0,9.090909090909092,90.9090909090909,1
scenario,s1@245,34,53.0,0.5172823667526245,0.190476194024086,52.131404446162996,-116.7401289820128,0.9975194334983826,0.7915390729904175,0.6492842435836792,0.6486493945121765,0.9140223860740662,0.3333333333333333,5.660377358490567,0.0,16.9811320754717,92.45283018867924,0.0,0.0,100.0,3
scenario,s1@585,27,51.0,0.5209534764289856,0.190476194024086,52.132917854098054,-116.73989455803196,0.9975058436393738,0.8017494082450867,0.6666449904441833,0.6429114937782288,0.9114291667938232,0.3333333333333333,5.88235294117647,0.0,17.647058823529413,92.15686274509804,0.0,0.0,100.0,3
scenario,s2,57,50.0,0.6053221225738525,0.17787115275859833,50.49165186899639,-114.50445885105624,0.7765265703201294,0.8091511726379395,0.6240359544754028,0.2624548077583313,0.5645349025726318,0.3333333333333333,0.0,0.0,0.0,14.000000000000002,0.0,10.0,90.0,2
scenario,s1@245,5,49.0,0.38961300253868103,0.30812329053878784,54.044413004885804,-119.52322352236133,0.9366337656974792,0.8896032571792603,0.6476084589958191,0.534599781036377,0.9403528571128845,0.18518518518518517,0.0,0.0,0.0,93.87755102040816,97.95918367346938,0.0,100.0,1
scenario,s4,41,46.0,0.494336873292923,0.34173670411109924,54.67811710637442,-118.45881144577358,0.10572272539138794,0.4045027494430542,0.597292959690094,0.5738106369972229,0.3895856738090515,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0
scenario,s1@585,50,36.0,0.608971357345581,0.4369748532772064,50.459268896384685,-114.3725202413694,0.7026463747024536,0.9067773818969727,0.1788092702627182,0.11014582961797714,0.27220678329467773,0.37037037037037035,0.0,0.0,0.0,100.0,0.0,33.33333333333333,66.66666666666666,2
scenario,s1@585,44,35.0,0.6174870133399963,0.3361344635486603,50.61310231064379,-114.32015253686731,0.6293346285820007,0.6212202310562134,0.16090117394924164,0.14901578426361084,0.11894073337316513,0.4444444444444444,0.0,0.0,0.0,74.28571428571429,0.0,100.0,0.0,5
scenario,s4,15,33.0,0.5537306666374207,0.4187674820423126,54.79181994603433,-119.74985796416189,0.05860374495387077,0.646084725856781,0.5387411713600159,0.6829916834831238,0.5770055055618286,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2
scenario,s1@245,39,28.0,0.4480791687965393,0.31512609124183655,51.99751457431492,-116.60884324231273,0.9892090559005737,0.7656928896903992,0.9151697158813477,0.6130626797676086,0.6261987090110779,0.3333333333333333,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1
scenario,s4,42,25.0,0.501960813999176,0.37254902720451355,54.6785628432964,-118.60998549881681,0.11015692353248596,0.5143773555755615,0.572879433631897,0.47092708945274353,0.3516404628753662,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2
scenario,s4,33,20.0,0.5030112862586975,0.42997196316719055,54.74996993814172,-118.74041061299513,0.09263046085834503,0.5546923875808716,0.5859372019767761,0.4171050488948822,0.3310045599937439,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2
scenario,s1@245,54,19.0,0.6418251395225525,0.3361344635486603,50.60194271829284,-114.31356073850169,0.6321176290512085,0.6581975817680359,0.15982326865196228,0.15132397413253784,0.15737082064151764,0.4444444444444444,0.0,0.0,0.0,68.42105263157895,0.0,100.0,0.0,6
scenario,s1@245,2,18.0,0.349828839302063,0.30812329053878784,54.18987354735565,-119.89021193774879,0.5797805190086365,0.9244799017906189,0.6339879631996155,0.4743068516254425,0.8079187273979187,0.2222222222222222,0.0,0.0,0.0,100.0,77.77777777777779,0.0,100.0,1
scenario,s1@245,56,18.0,0.6317304372787476,0.5546218156814575,50.48771294856149,-114.5243785777016,0.7893105745315552,0.8238999843597412,0.7373879551887512,0.2492953985929489,0.6026914119720459,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5
scenario,s1@245,1,17.0,0.37856319546699524,0.3151260316371918,54.23919136319752,-119.977956280662,0.5529932379722595,0.9381967186927795,0.6160169839859009,0.43453681468963623,0.8806477189064026,0.2222222222222222,0.0,0.0,0.0,88.23529411764706,100.0,0.0,100.0,1
scenario,s2,2,16.0,0.5498074293136597,0.4019607901573181,54.88771331552726,-119.96369531048582,0.015834659337997437,0.7504094839096069,0.5807970762252808,0.7079552412033081,0.6072660684585571,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0
scenario,s4,43,15.0,0.521195113658905,0.3907563090324402,54.6705265875674,-118.30727792798653,0.10240663588047028,0.5395870208740234,0.676327645778656,0.5103182792663574,0.3877842128276825,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0
scenario,s1@585,22,14.0,0.5332133173942566,0.4761905074119568,52.39482727729691,-116.97202938482461,0.9980368614196777,0.9146322011947632,0.7882941365242004,0.5915786623954773,0.9492374062538147,0.37037037037037035,0.0,0.0,14.285714285714285,100.0,0.0,0.0,85.71428571428571,3
scenario,s2,28,14.0,0.5722289085388184,0.47478991746902466,52.25630298675442,-116.44180266984638,0.9316142797470093,0.7406110763549805,0.5904531478881836,0.6922764182090759,0.8683505058288574,0.3333333333333333,7.142857142857142,0.0,100.0,42.857142857142854,0.0,0.0,100.0,2
scenario,s4,2,14.0,0.5487194657325745,0.46498602628707886,55.31739519934685,-119.96339537888669,0.0025904274079948664,0.5913547277450562,0.3536052703857422,0.45610183477401733,0.3090856373310089,0.37037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,78.57142857142857,2
scenario,s1@245,26,13.0,0.5353372097015381,0.4761905074119568,52.39383761296736,-116.97414358245663,0.9981657266616821,0.9146836400032043,0.7813140153884888,0.5828624367713928,0.9492863416671753,0.37037037037037035,0.0,0.0,15.384615384615385,100.0,0.0,0.0,84.61538461538461,3
scenario,s4,14,13.0,0.46423184871673584,0.4397759437561035,54.95159564929441,-119.35917152309047,0.04766293987631798,0.39519745111465454,0.4195767045021057,0.9668233394622803,0.49534714221954346,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,15.384615384615385,2
scenario,s2,23,12.0,0.557422935962677,0.44677871465682983,52.868621538529936,-117.24597828121209,0.9464888572692871,0.9837183952331543,0.7190107703208923,0.5936258435249329,0.8615416884422302,0.2962962962962963,0.0,0.0,100.0,100.0,0.0,0.0,100.0,2
scenario,s1@245,3,10.0,0.32016807794570923,0.2857142984867096,54.200626706496145,-119.7852813320623,0.6843494176864624,0.8999544978141785,0.6180323362350464,0.48996591567993164,0.9123668670654297,0.18518518518518517,0.0,0.0,0.0,40.0,70.0,0.0,100.0,1
scenario,s2,30,10.0,0.6473389863967896,0.5966386198997498,52.14504458756565,-116.8017364367687,0.9994209408760071,0.9674087762832642,0.8727716207504272,0.6992660760879517,0.9436818957328796,0.3333333333333333,0.0,0.0,70.0,100.0,0.0,0.0,100.0,5
scenario,s4,34,10.0,0.47156867384910583,0.4075629711151123,54.81388799661081,-118.61680254482881,0.0946134552359581,0.2818451523780823,0.6050716638565063,0.5056218504905701,0.357913613319397,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1
