aoi,km2,share_of_disc_pct,mean_F2_inside,mean_F2_disc,core_inside_km2,core_inside_pct,ratio_vs_null,mean_f2_s0,mean_f2_s1@585,mean_f2_s1@245,mean_f2_s2,mean_f2_s3,mean_f2_s4,mean_f2_s5,mean_f2_s1x,mean_f2_s3x
AOI-2 Nature First (novel),436,0.7627578243907559,0.2687630355358124,0.17639650404453278,0,0.0,0.0,0.27070966362953186,0.24352401494979858,0.5070606470108032,0.3288586139678955,0.1807204633951187,0.268146276473999,0.25305813550949097,0.244378462433815,0.16473287343978882
Upper Smoky SRP planning area (unlocked),10028,17.543429960987385,0.18593066930770874,0.17639650404453278,0,0.0,0.0,0.19290301203727722,0.12075014412403107,0.1825770139694214,0.194086953997612,0.19676867127418518,0.22026170790195465,0.1923193484544754,0.12051551043987274,0.1865071952342987
