band,plain km2,plain %disc,guarded km2,guarded %disc
"never [0.00, 0.05)",0,0.0,0,0.0
"rare [0.05, 0.30)",56287,98.47098546211578,56271,98.4429943492941
"conditional [0.30, 0.70)",873,1.5272650933328669,889,1.5552562061545459
"frequent [0.70, 0.95)",1,0.0017494445513549447,1,0.0017494445513549447
"always [0.95, 1.00]",0,0.0,0,0.0
