,core (F ≥ 0.70),scenario tier,opportunity,never
0 of 5 themes,0,66,194818,744
1 of 5 themes,1691,15653,477661,31
2 of 5 themes,11493,31684,296226,0
3 of 5 themes,3440,6316,40910,0
4 of 5 themes,271,267,614,0
5 of 5 themes,0,0,0,0
