value,pct_of_regional_total_in_PAs,S0_target,pct_of_target_already_banked,pct_still_needed_from_unprotected_land,enrichment_existing_PAs,enrichment_S0_new_half
human_modification,15.50002460804126,1.0,15.50002460804126,84.49997539195874,1.0328378583314697,0.9617946144875412
transboundary_connectivity,14.932034976347893,1.0,14.932034976347893,85.0679650236521,0.9949900994028605,1.232457529459326
climate_corridors,14.275511020887855,1.0,14.275511020887855,85.72448897911215,0.9512428916888244,0.7840099507012781
climate_type_macrorefugia,19.16639009547981,1.0,19.16639009547981,80.83360990452019,1.2771446367827706,1.7370767332897248
irrecoverable_carbon_biomass,12.255610701016842,1.0,12.255610701016842,87.74438929898317,0.8166476524440872,1.2508946884766212
irrecoverable_carbon_m_soc,17.63712234687827,0.332,53.1238624905972,15.56287765312173,1.1752425000944469,1.0380247889360483
aoh_richness_mammals,15.910148413544126,1.0,15.910148413544126,84.08985158645588,1.0601662919074124,1.1178614773817677
aoh_richness_birds,15.293635706775794,1.0,15.293635706775794,84.7063642932242,1.0190852175352854,1.1809927102146243
